レースID,1コーナー,2コーナー,3コーナー,4コーナー
200201020212,"(*10,11)-12,1,9-5(3,6)(2,4,8)13-7","10,11,12-1,9(3,5,6)-(2,4)8-13,7","(*10,11)(12,5,9)(3,1,6)(2,4)-8,13-7","11(12,5,9)1(10,4)(3,2,6)13-8=7"
200201020301,"(9,*11)12(2,3,5)(10,14)(4,13)(1,6)8,7","9,11(2,12)3(4,5)(10,14)(1,13,6)(7,8)","(*9,11)12(2,3)4(10,5,14)(1,6)8(7,13)","11(9,4)-(2,3)-(10,6)12(1,5,14)7,8=13"
200201020302,,,"12-(11,8)(1,2)7,3,5(6,4)9   10","(*12,8)-1,3(6,2,7)5-4(11,9)   10"
200201020303,"9(2,3)(4,5)-1(6,10,11)8,7","(*9,3)5(2,4)-(1,11)(6,10)(7,8)","(*9,3,5)(2,4)(7,1)8(6,11)10","(3,*4,7)5-(9,1)-(2,8)6=10=11"
200201020304,"10(11,5)(1,6)8(2,3)-(7,4)-9","(*10,11)5(1,6)(2,8)(3,7)-4-9","11(10,5,6)1(7,4)2(8,3)=9","11,7,4,1-6-2(5,3)10,9,8"
200201020305,,,"(*1,3)(4,7)-(6,8)=5-2=9","(1,*3,7)-(6,4,8)=5=2=9"
200201020306,"(*7,8)2(4,10,11)(6,9,14)12-(1,5,13)-3","7,8,2(4,10,11)6,14(9,12)(1,5,13)-3","(*7,8)11,2,4(6,10,12)(9,13)14(1,3,5)","(7,*8)(2,4,11)(6,9,13)12,3(1,10)5-14"
200201020307,,,"(*10,12)7(5,9,11)(1,8)6,2,3,4","(*10,12)(7,11)5-1(6,9,2,8)-(3,4)"
200201020308,"(1,*10)6,9,8(7,11,12)3,5,2-4","10,1,6(8,9)(7,11)12,3,5-(2,4)","(*10,6)9(8,11,5)(1,7)-(3,4,12)-2","10(6,5)8,9,7,11(1,4,12)(3,2)"
200201020309,,,"14(7,9)(3,12)13,6(4,10)8,5(2,1)-11","14(3,7,9)(4,6,12)(8,10,13)(5,2,1)-11"
200201020310,"8(7,9,13)(1,4,6)(10,11,12)3,2-5","8(7,9)(1,4,13)6(10,11)12(3,2)-5","8(7,9)(1,4,13)(6,12)(3,10)(2,11)5","8(7,9)(1,4)(3,10,13)(2,6,12)5-11"
200201020311,,,"8(6,11)(1,5,15)(7,12)(3,14)(10,13)(2,4,9)","(8,*6,11)15(1,5)(7,12)(3,14,13)10(2,4,9)"
200201020312,"6(4,5)(1,7)(2,9)(3,8)","6,5,4,1,7,2,9(3,8)","6,5(1,7)(4,9)2(3,8)","6(5,7)1,9-(3,2)8,4"
200201020401,,,"(*7,11)12-1,3-(2,10,9)-(6,4,8)-5","(*7,11)12-1(2,3,9)(6,4)(10,8)-5"
200201020402,"(*1,10)11(3,13)7(2,4)12-8,9(5,6)","1(10,11)(3,13)7(2,4)12(8,9)(5,6)","(*1,11)(3,13)10(2,7)4(5,12)(8,9)-6","(*1,11,13)(2,7)3(4,12)(5,9)8(10,6)"
200201020403,,,"(*1,5,11)2-6(3,9,8)4,10=7-12","(*1,5,11)-(2,6)(3,9,4)8,10-7=12"
200201020404,,,"(*2,6)10(1,7,14)(5,9)(3,11)12(8,13)(4,15)","(*2,6)7(1,5,10)(3,9,14)11,13,4,8(12,15)"
200201020405,,,"(1,*4,6)7,8-2-5=3","(*1,4)6,7,8-2=5=3"
200201020406,,,"(*12,14)-(7,11)(9,16)(2,8)15(6,4)3(1,10)5=13","(*12,14)11,7(9,16)(2,8,4,15)-(6,1)5(3,10)=13"
